"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PISASCIENCE","TOT","MEANSCORE","A","2018",503,
"AUT","PISASCIENCE","TOT","MEANSCORE","A","2018",490,
"BEL","PISASCIENCE","TOT","MEANSCORE","A","2018",499,
"CAN","PISASCIENCE","TOT","MEANSCORE","A","2018",518,
"CZE","PISASCIENCE","TOT","MEANSCORE","A","2018",497,
"DNK","PISASCIENCE","TOT","MEANSCORE","A","2018",493,
"FIN","PISASCIENCE","TOT","MEANSCORE","A","2018",522,
"FRA","PISASCIENCE","TOT","MEANSCORE","A","2018",493,
"DEU","PISASCIENCE","TOT","MEANSCORE","A","2018",503,
"GRC","PISASCIENCE","TOT","MEANSCORE","A","2018",452,
"HUN","PISASCIENCE","TOT","MEANSCORE","A","2018",481,
"ISL","PISASCIENCE","TOT","MEANSCORE","A","2018",475,
"IRL","PISASCIENCE","TOT","MEANSCORE","A","2018",496,
"ITA","PISASCIENCE","TOT","MEANSCORE","A","2018",468,
"JPN","PISASCIENCE","TOT","MEANSCORE","A","2018",529,
"KOR","PISASCIENCE","TOT","MEANSCORE","A","2018",519,
"LUX","PISASCIENCE","TOT","MEANSCORE","A","2018",477,
"MEX","PISASCIENCE","TOT","MEANSCORE","A","2018",419,
"NLD","PISASCIENCE","TOT","MEANSCORE","A","2018",503,
"NZL","PISASCIENCE","TOT","MEANSCORE","A","2018",508,
"NOR","PISASCIENCE","TOT","MEANSCORE","A","2018",490,
"POL","PISASCIENCE","TOT","MEANSCORE","A","2018",511,
"PRT","PISASCIENCE","TOT","MEANSCORE","A","2018",492,
"SVK","PISASCIENCE","TOT","MEANSCORE","A","2018",464,
"ESP","PISASCIENCE","TOT","MEANSCORE","A","2018",483,
"SWE","PISASCIENCE","TOT","MEANSCORE","A","2018",499,
"CHE","PISASCIENCE","TOT","MEANSCORE","A","2018",495,
"TUR","PISASCIENCE","TOT","MEANSCORE","A","2018",468,
"GBR","PISASCIENCE","TOT","MEANSCORE","A","2018",505,
"USA","PISASCIENCE","TOT","MEANSCORE","A","2018",502,
"BRA","PISASCIENCE","TOT","MEANSCORE","A","2018",404,
"CHL","PISASCIENCE","TOT","MEANSCORE","A","2018",444,
"EST","PISASCIENCE","TOT","MEANSCORE","A","2018",530,
"IDN","PISASCIENCE","TOT","MEANSCORE","A","2018",396,
"ISR","PISASCIENCE","TOT","MEANSCORE","A","2018",462,
"LVA","PISASCIENCE","TOT","MEANSCORE","A","2018",487,
"RUS","PISASCIENCE","TOT","MEANSCORE","A","2018",478,
"SVN","PISASCIENCE","TOT","MEANSCORE","A","2018",507,
"OAVG","PISASCIENCE","TOT","MEANSCORE","A","2018",489,
"COL","PISASCIENCE","TOT","MEANSCORE","A","2018",413,
"CRI","PISASCIENCE","TOT","MEANSCORE","A","2018",416,
"LTU","PISASCIENCE","TOT","MEANSCORE","A","2018",482,
